"","ID","Country","AQI_Index","Fine_Particles","Coarse_Particles","Ozone","Nitrogen_Dioxide","Sulphur_Dioxide","Carbon_Monoxide","Temp_Celsius","Wind_Kmph","Humidity_Percent","Temp_Fahrenheit","DewPoint_Index","Heat_Index","AQI_Category","Heat_Category","Wind_Category","DewPoint_Category"
"81",81,"Montreal, Canada",39,7.2,26,19.7,0.5,229,0,16,3.1,94,60.8,14.8,14.3,"Good","Safe","Light Air","Comfortable"
"82",82,"Nairobi, Kenya",39,7,5,50,0,0,0,17,5.6,83,62.6,13.6,15.2,"Good","Safe","Light Breeze","Comfortable"
"83",83,"Oslo, Norway",37,2.6,10,89.8,3,0.2,0,13,9.6,45,55.4,2,11.4,"Good","Safe","Light Breeze","Very Dry"
"84",84,"Hong Kong, Hong Kong SAR",37,5.3,11.1,43.6,29.9,4,294.5,30,14.5,65,86,23,27.4,"Good","Caution","Gentle Breeze","Muggy"
"85",85,"Washington D.C., USA",37,5.8,27,58,15,515.3,0,18,10.1,91,64.4,16.2,16.2,"Good","Safe","Light Breeze","Somewhat Muggy"
"86",86,"Baku, Azerbaijan",36,4,0,0,0,0,0,18,23.4,59,64.4,9.8,16.1,"Good","Safe","Moderate Breeze","Dry"
"87",87,"Denver, USA",36,4,10,88,9.4,114.5,0,13,4.8,47,55.4,2.4,11.4,"Good","Safe","Light Air","Very Dry"
"88",88,"Hangzhou, China",36,6,13,88.5,9.5,6,550,34,1,42,93.2,22.4,31,"Good","Caution","Calm","Muggy"
"89",89,"Chicago, USA",36,3.3,78,0,0,0,0,15,16.1,59,59,6.8,13.3,"Good","Safe","Gentle Breeze","Dry"
"90",90,"Salt Lake City, USA",36,3,11,80,3.8,1.1,114.5,11,1.6,62,51.8,3.4,9.5,"Good","Safe","Calm","Very Dry"
"91",91,"Wrocław, Poland",35,6,15.2,70.8,6.9,12.1,348,10,8.1,70,50,4,8.6,"Good","Safe","Light Breeze","Very Dry"
"92",92,"Berlin, Germany",35,6,11,58,7.5,0,0,13,14.5,71,55.4,7.2,11.4,"Good","Safe","Gentle Breeze","Dry"
"93",93,"Belgrade, Serbia",35,6.5,12.5,45.4,15.9,7,340,12,1.6,69,53.6,5.8,10.5,"Good","Safe","Calm","Dry"
"94",94,"Madrid, Spain",34,6,9.5,83.5,13,3,0,13,6.4,67,55.4,6.4,11.4,"Good","Safe","Light Breeze","Dry"
"95",95,"Ulaanbaatar, Mongolia",33,2.6,35.1,0.1,14.9,5.5,400.8,9,19.4,21,48.2,-6.8,7.6,"Good","Safe","Moderate Breeze","Very Dry"
"96",96,"Prague, Czech Republic",33,6.1,12.7,56.9,16.1,4.6,312.9,11,14.5,71,51.8,5.2,9.5,"Good","Safe","Gentle Breeze","Dry"
"97",97,"Bern, Switzerland",32,7.9,15,45,22,0,0,12,1.6,54,53.6,2.8,10.5,"Good","Safe","Calm","Very Dry"
"98",98,"Dublin, Ireland",32,4.4,5.9,27.7,33.4,0,0,11,9.1,86,51.8,8.2,9.6,"Good","Safe","Light Breeze","Dry"
"99",99,"Ljubljana, Slovenia",31,6,10.1,22.4,18.3,100.1,0,11,3.1,77,51.8,6.4,9.5,"Good","Safe","Light Air","Dry"
"100",100,"Zagreb, Croatia",31,4.9,6.4,41.7,15.1,2.7,108,12,3.6,72,53.6,6.4,10.5,"Good","Safe","Light Air","Dry"
"101",101,"Kaohsiung, Taiwan",31,5,20,37,3.8,2,114.5,30,25.7,76,86,25.2,27.5,"Good","Caution","Moderate Breeze","Oppresive"
"102",102,"Sydney, Australia",30,6,18.8,0.6,0,0,93.1,18,1.6,74,64.4,12.8,16.2,"Good","Safe","Calm","Comfortable"
"103",103,"Helsinki, Finland",29,1.7,3.4,79.7,10,0.1,0,8,16.1,89,46.4,5.8,6.7,"Good","Safe","Gentle Breeze","Dry"
"104",104,"Bratislava, Slovakia",28,5,8,55.5,5.5,153,0,9,20.6,83,48.2,5.6,7.6,"Good","Safe","Moderate Breeze","Dry"
"105",105,"Stockholm, Sweden",28,4.3,9.1,67.9,4.5,0,0,8,1.6,75,46.4,3,6.7,"Good","Safe","Calm","Very Dry"
"106",106,"Budapest, Hungary",28,5,7,56,7.8,5.1,272,11,8.1,67,51.8,4.4,9.5,"Good","Safe","Light Breeze","Dry"
"107",107,"Vienna, Austria",28,5,8,59,8,2,200,10,29,78,50,5.6,8.6,"Good","Safe","Fresh Breeze","Dry"
"108",108,"Chiang Mai, Thailand",28,4,0,0,0,0,0,31,9.3,61,87.8,23.2,28.3,"Good","Caution","Light Breeze","Muggy"
"109",109,"Nice, France",27,4.9,8.1,54.5,7.5,0,0,17,12.7,78,62.6,12.6,15.2,"Good","Safe","Gentle Breeze","Comfortable"
"110",110,"Yangon, Myanmar",27,3,0,0,0,0,0,27,18.5,81,80.6,23.2,24.7,"Good","Safe","Gentle Breeze","Muggy"
"111",111,"Detroit, USA",24,4.4,13.2,2.6,0,0,0,19,4.8,78,66.2,14.6,17.1,"Good","Safe","Light Air","Comfortable"
"112",112,"San Francisco, USA",24,3.2,58,3.8,171.8,0,0,11,22.5,85,51.8,8,9.6,"Good","Safe","Moderate Breeze","Dry"
"113",113,"Warsaw, Poland",23,1.3,1.5,58.7,9.5,1.9,252,4,8.1,94,39.2,2.8,2.9,"Good","Safe","Light Breeze","Very Dry"
"114",114,"Seattle, USA",23,2.6,7,57,8.7,0,0,11,1.6,91,51.8,9.2,9.6,"Good","Safe","Calm","Dry"
"115",115,"Auckland, New Zealand",22,3.2,8,10.5,0,0,0,17,11.3,85,62.6,14,15.3,"Good","Safe","Gentle Breeze","Comfortable"
"116",116,"Rome, Italy",22,4.2,54.5,16,1.6,0.8,0,15,8.1,47,59,4.4,13.3,"Good","Safe","Light Breeze","Dry"
"117",117,"Portland, USA",19,3.4,45.8,9.6,0.2,154.2,0,13,1.6,92,55.4,11.4,11.5,"Good","Safe","Calm","Comfortable"
"118",118,"Melbourne, Australia",18,1.6,19.7,28,4,0.5,0.1,10,4.8,87,50,7.4,8.6,"Good","Safe","Light Air","Dry"
"119",119,"Lyon, France",17,3,8.7,9.8,2.5,86,0,14,8,67,57.2,7.4,12.4,"Good","Safe","Light Breeze","Dry"
"120",120,"Athens, Greece",17,2.7,0,0,0,0,0,21,22.5,55,69.8,12,18.9,"Good","Safe","Moderate Breeze","Comfortable"
"121",121,"Tokyo, Japan",17,3,10,11.3,0,229,0,22,6.4,87,71.6,19.4,20,"Good","Safe","Light Breeze","Somewhat Muggy"
"122",122,"Krasnoyarsk, Russia",14,5,29.5,15.5,0,0,0,18,4.4,22,64.4,2.4,16.1,"Good","Safe","Light Air","Very Dry"
"123",123,"Copenhagen, Denmark",13,2.4,5,0.2,0,0,0,12,18.3,65,53.6,5,10.5,"Good","Safe","Gentle Breeze","Dry"
"124",124,"Vancouver, Canada",13,2.6,0,0,0,0,0,10,8.1,96,50,9.2,8.6,"Good","Safe","Light Breeze","Dry"
"125",125,"Minneapolis, USA",7,0.9,4.5,18,7.5,0,0,8,9.6,95,46.4,7,6.7,"Good","Safe","Light Breeze","Dry"
